margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.2,0.8,300,100,TRUE,300,-9314,212788.8,6300,15613.69,212788.8
0.2,0.8,300,100,TRUE,300,-7317,196471.2,6300,13616.96,196471.2
0.2,0.8,300,100,TRUE,300,-7859,216385.6,6600,14458.86,216385.6
0.2,0.8,300,100,TRUE,300,-7198,202940,6300,13498.13,202940
0.2,0.8,300,100,TRUE,300,-8886,205568,6400,15286.18,205568
0.2,0.8,300,100,TRUE,300,-8996,197616,6200,15195.8,197616
0.2,0.8,300,100,TRUE,300,-9028,210641.6,6300,15328.42,210641.6
0.2,0.8,300,100,TRUE,300,-8690,203558.4,6500,15190.03,203558.4
0.21,0.8,300,100,TRUE,300,-11398,199418.91,6000,14873.25,201943.2
0.21,0.8,300,100,TRUE,300,-11470,206572.36,6200,15054.99,209187.2
0.21,0.8,300,100,TRUE,300,-10715,204360.36,6400,14528.16,206947.2
0.21,0.8,300,100,TRUE,300,-12198,213604.15,6300,15794.36,216308
0.21,0.8,300,100,TRUE,300,-14768,211718.42,6400,18488.15,214398.4
0.21,0.8,300,100,TRUE,300,-12180,202868.05,6000,15611.9,205436
0.21,0.8,300,100,TRUE,300,-16750,211442.71,6000,20073.29,214119.2
0.21,0.8,300,100,TRUE,300,-16417,205356.55,6200,20017.38,207956
0.21,0.8,300,100,TRUE,300,-9160,208535.51,6900,13420.39,211175.2
0.21,0.8,300,100,TRUE,300,-11384,204882.55,6100,14890.16,207476
0.22,0.8,300,100,TRUE,300,-15286,202709.52,6800,16887.95,207907.2
0.22,0.8,300,100,TRUE,300,-15529,216109.92,7200,17187.87,221651.2
0.22,0.8,300,100,TRUE,300,-16394,214068.66,6700,17605.31,219557.6
0.22,0.8,300,100,TRUE,300,-16215,216219.9,6600,17271.14,221764
0.22,0.8,300,100,TRUE,300,-9576,200939.7,6800,11223.65,206092
0.22,0.8,300,100,TRUE,300,-15485,208533.78,6800,16938.25,213880.8
0.22,0.8,300,100,TRUE,300,-16055,206649.3,6300,17055.81,211948
0.22,0.8,300,100,TRUE,300,-14250,216988.98,7400,16086.35,222552.8
