margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.17,0.2,300,100,TRUE,300,148551,205027.43,5400,12472.2,49404.2
0.17,0.2,300,100,TRUE,300,138436,192070.3,5000,12352.71,46282
0.17,0.2,300,100,TRUE,300,136960,191909.28,5000,13706.57,46243.2
0.17,0.2,300,100,TRUE,300,155705,214709.38,5500,12767.55,51737.2
0.17,0.2,300,100,TRUE,300,135673,191927.54,5500,15507.36,46247.6
0.17,0.2,300,100,TRUE,300,146258,205909.72,5500,15534.93,49616.8
0.17,0.2,300,100,TRUE,300,128345,182000.74,4900,14699.89,43855.6
0.17,0.2,300,100,TRUE,300,137292,196446.06,4800,16617.53,47336.4
0.17,0.2,300,100,TRUE,300,131002,183877.37,5100,13667.47,44307.8
0.18,0.2,300,100,TRUE,300,144738,207293.54,5700,17696.56,50559.4
0.18,0.2,300,100,TRUE,300,136779,193665.14,4800,14450.38,47235.4
0.18,0.2,300,100,TRUE,300,139764,200941.82,5800,17967.46,49010.2
0.18,0.2,300,100,TRUE,300,138606,194960.74,5400,14203.78,47551.4
0.18,0.2,300,100,TRUE,300,136499,194146.48,5600,15895.14,47352.8
0.18,0.2,300,100,TRUE,300,147041,207460.82,5500,15319.46,50600.2
0.18,0.2,300,100,TRUE,300,142143,201255.06,5900,15925.61,49086.6
0.18,0.2,300,100,TRUE,300,143502,204899.96,5800,17222.78,49975.6
0.18,0.2,300,100,TRUE,300,149758,208067.62,5900,13461.45,50748.2
0.18,0.2,300,100,TRUE,300,142501,199579.8,5800,14200.89,48678
0.19,0.2,300,100,TRUE,300,154006,215399.25,6100,14307.78,53185
0.19,0.2,300,100,TRUE,300,152131,215421.12,6100,16199.97,53190.4
0.19,0.2,300,100,TRUE,300,143146,206858.61,5500,18135.99,51076.2
0.19,0.2,300,100,TRUE,300,148913,210765.24,5900,15711.19,52040.8
0.19,0.2,300,100,TRUE,300,135438,191910.87,5900,14987.39,47385.4
0.19,0.2,300,100,TRUE,300,133741,189238.68,5700,14472.25,46725.6
0.19,0.2,300,100,TRUE,300,137869,190607.58,5700,11374.68,47063.6
0.19,0.2,300,100,TRUE,300,142035,197332.2,5700,12272.94,48724
0.19,0.2,300,100,TRUE,300,140263,203010.3,5500,18121.72,50126
0.19,0.2,300,100,TRUE,300,151655,208337.67,6200,11440.93,51441.4
0.2,0.2,300,100,TRUE,300,147333,210224.8,5900,16235.49,52556.2
0.2,0.2,300,100,TRUE,300,155307,218833.6,7000,15818.54,54708.4
0.2,0.2,300,100,TRUE,300,145435,208743.2,6000,17122.37,52185.8
0.2,0.2,300,100,TRUE,300,134048,187643.2,6100,12784.48,46910.8
0.2,0.2,300,100,TRUE,300,132049,195161.6,6000,20321.93,48790.4
0.2,0.2,300,100,TRUE,300,142807,202624,6400,15561.35,50656
0.2,0.2,300,100,TRUE,300,153841,216227.2,6800,15129.32,54056.8
0.2,0.2,300,100,TRUE,300,148477,209716.8,6400,15211.02,52429.2
0.2,0.2,300,100,TRUE,300,143428,202632,6400,14946.16,50658
0.2,0.2,300,100,TRUE,300,145863,208298.4,6500,16861.28,52074.6
0.21,0.2,300,100,TRUE,300,146683,207981.72,6200,14845.11,52653.6
0.21,0.2,300,100,TRUE,300,139464,202171.27,6100,17624.89,51182.6
0.21,0.2,300,100,TRUE,300,133430,194344.74,5600,17313.93,49201.2
0.21,0.2,300,100,TRUE,300,137391,194916.7,5800,13979.42,49346
0.21,0.2,300,100,TRUE,300,137226,198504.88,6000,17024.29,50254.4
0.21,0.2,300,100,TRUE,300,143454,207859.27,6600,18382.66,52622.6
0.21,0.2,300,100,TRUE,300,146700,210446.52,6400,16869.05,53277.6
0.21,0.2,300,100,TRUE,300,149605,211508.28,7000,15356.7,53546.4
0.21,0.2,300,100,TRUE,300,136942,195766.74,6100,15363.98,49561.2
0.22,0.2,300,100,TRUE,300,152711,213094.44,6900,12643.49,54639.6
0.21,0.2,300,100,TRUE,300,144730,204247.39,6200,14009,51708.2
0.22,0.2,300,100,TRUE,300,139882,200568.42,6200,15458.31,51427.8
0.22,0.2,300,100,TRUE,300,150780,217217.52,7100,17840.86,55696.8
0.22,0.2,300,100,TRUE,300,147849,211876.86,6800,16500.36,54327.4
0.22,0.2,300,100,TRUE,300,150524,216255,6400,16681.37,55450
0.22,0.2,300,100,TRUE,300,145007,204035.52,6700,13411.23,52316.8
0.22,0.2,300,100,TRUE,300,141076,205326.42,6400,18002.39,52647.8
0.22,0.2,300,100,TRUE,300,150747,222409.98,7000,21634.8,57028.2
0.22,0.2,300,100,TRUE,300,150723,215103.72,6900,16125.88,55154.8
0.22,0.2,300,100,TRUE,300,139182,202613.58,6600,18079.68,51952.2
0.23,0.2,300,100,TRUE,300,146013,209731.06,6900,16142.91,54475.6
0.23,0.2,300,100,TRUE,300,143758,210677.39,7100,19298.11,54721.4
0.23,0.2,300,100,TRUE,300,143514,204670.62,6700,14695.7,53161.2
0.23,0.2,300,100,TRUE,300,136022,203699.65,6300,21068.16,52909
0.23,0.2,300,100,TRUE,300,138028,200833.71,6600,17241.19,52164.6
0.23,0.2,300,100,TRUE,300,139220,201282.62,7200,16981.19,52281.2
