"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 14:19:07:568 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"160","0.16","0.8","300","100","true","300","34","5703","201702.47999999998","5400","9301.440000000002","192097.6"
"161","0.17","0.8","300","100","true","300","36","424","194209.21","4900","11495.849999999999","187189.6"
"163","0.17","0.8","300","100","true","300","36","790","195836.00999999998","5200","11488.73","188757.6"
"162","0.17","0.8","300","100","true","300","42","179","193396.63999999998","5300","12111.699999999993","186406.40000000002"
"164","0.17","0.8","300","100","true","300","35","2528","187155.03999999998","4700","8936.730000000001","180390.40000000002"
"165","0.17","0.8","300","100","true","300","34","2874","189635.91","5300","9280.05","182781.6"
"166","0.17","0.8","300","100","true","300","36","6411","178000.13999999998","4900","4922.719999999999","171566.40000000002"
"167","0.17","0.8","300","100","true","300","36","-3510","188119.5","5000","15309.600000000002","181320"
"168","0.17","0.8","300","100","true","300","32","3914","184483.27","5100","7853.920000000004","177815.2"
"169","0.17","0.8","300","100","true","300","33","6298","179738.16","5400","5598.600000000002","173241.6"
"170","0.17","0.8","300","100","true","300","35","-1598","210236.50999999998","5800","14997.349999999999","202637.6"
"171","0.18000000000000002","0.8","300","100","true","300","37","-4300","198377.68","5500","14638.560000000003","193539.2"
"172","0.18000000000000002","0.8","300","100","true","300","37","-1953","194651.59999999998","5600","12300.71","189904"
"173","0.18000000000000002","0.8","300","100","true","300","36","1850","196590.08","5600","8545.180000000004","191795.2"
"174","0.18000000000000002","0.8","300","100","true","300","32","-1267","193845.53999999998","5700","11694.73","189117.6"
"175","0.18000000000000002","0.8","300","100","true","300","39","-3876","195392.87999999998","5300","13941.740000000002","190627.2"
"176","0.18000000000000002","0.8","300","100","true","300","40","2560","202315.31999999998","5600","7974.630000000001","197380.80000000002"
"177","0.18000000000000002","0.8","300","100","true","300","36","3142","186179.36","5300","6699.000000000002","181638.40000000002"
"178","0.18000000000000002","0.8","300","100","true","300","41","-2299","195421.58","5900","12964.970000000001","190655.2"
"179","0.18000000000000002","0.8","300","100","true","300","36","1791","199533.06","5500","8575.599999999999","194666.40000000002"
"180","0.18000000000000002","0.8","300","100","true","300","38","3614","190052.22","5600","6621.240000000002","185416.80000000002"
"181","0.19","0.8","300","100","true","300","32","-2165","203194.98","6300","10974.060000000001","200686.40000000002"
"182","0.19","0.8","300","100","true","300","33","1222","198263.7","5700","6925.23","195816"
"183","0.19","0.8","300","100","true","300","34","-8690","194265.54","5800","16887.989999999998","191867.2"
"184","0.19","0.8","300","100","true","300","29","-4685","198003.69","6200","13329.66","195559.2"
"185","0.19","0.8","300","100","true","300","31","126","218239.92","6500","9068.550000000003","215545.6"
"186","0.19","0.8","300","100","true","300","30","-5731","193734.99000000002","5400","13523.17","191343.2"
"187","0.19","0.8","300","100","true","300","37","366","207455.58000000002","6300","8495.49","204894.40000000002"
"188","0.19","0.8","300","100","true","300","33","-3379","206072.1","6000","11922.929999999997","203528"
"189","0.19","0.8","300","100","true","300","33","-7927","204475.59000000003","6200","16650.96","201951.2"
"190","0.19","0.8","300","100","true","300","33","-953","192133.62000000002","5400","8725.51","189761.6"
"192","0.2","0.8","300","100","true","300","32","-6039","202580.80000000002","6100","12139.11","202580.80000000002"
"191","0.2","0.8","300","100","true","300","33","-4303","200224","6100","10403.420000000004","200224"
"193","0.2","0.8","300","100","true","300","24","-876","182108.80000000002","6200","7076.439999999999","182108.80000000002"
"194","0.2","0.8","300","100","true","300","40","-11733","190533.6","5400","17132.659999999996","190533.6"
"195","0.2","0.8","300","100","true","300","34","-4727","208313.6","6100","10827.409999999998","208313.6"
"196","0.2","0.8","300","100","true","300","33","-838","185760.80000000002","5900","6738.450000000001","185760.80000000002"
