"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 12:46:43:547 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"176","0.18000000000000002","0.4","300","100","false","300","26","80385","172347.59999999998","4500","12390.839999999998","84072"
"177","0.18000000000000002","0.4","300","100","false","300","23","91167","196155.47999999998","4800","14103.28","95685.6"
"178","0.18000000000000002","0.4","300","100","false","300","24","84749","188207.22","5000","16650.3","91808.40000000001"
"179","0.18000000000000002","0.4","300","100","false","300","27","83203","181359.4","4500","14187.909999999998","88468"
"180","0.18000000000000002","0.4","300","100","false","300","28","86495","176354.94","4500","8333.17","86026.8"
"181","0.19","0.4","300","100","false","300","25","88003","195791.58000000002","5000","16101.869999999997","96687.20000000001"
"182","0.19","0.4","300","100","false","300","25","81702","180663.21000000002","5500","15244.980000000001","89216.40000000001"
"183","0.19","0.4","300","100","false","300","25","73181","171163.53","4200","17656.9","84525.20000000001"
"184","0.19","0.4","300","100","false","300","23","92726","200176.11000000002","6000","14597.98","98852.40000000001"
"186","0.19","0.4","300","100","false","300","26","83057","181081.17","4700","13301.820000000002","89422.8"
"185","0.19","0.4","300","100","false","300","26","75477","173112.39","4300","16447.600000000002","85487.6"
"187","0.19","0.4","300","100","false","300","24","90759","203219.28","5500","17604.61","100355.20000000001"
"188","0.19","0.4","300","100","false","300","26","82906","181734.03","5100","14182.429999999998","89745.20000000001"
"189","0.19","0.4","300","100","false","300","26","82878","186253.02000000002","4900","16298.36","91976.8"
"190","0.19","0.4","300","100","false","300","28","77267","172815.12000000002","4200","14407.449999999999","85340.8"
"191","0.2","0.4","300","100","false","300","24","84325","190643.2","5000","15996.13","95321.6"
"192","0.2","0.4","300","100","false","300","25","74657","173579.2","5000","17132.38","86789.6"
"193","0.2","0.4","300","100","false","300","31","74403","166615.2","4600","13504.69","83307.6"
"194","0.2","0.4","300","100","false","300","28","86847","192116.80000000002","5700","14911.779999999999","96058.40000000001"
"195","0.2","0.4","300","100","false","300","22","80617","189665.6","5600","19815.620000000003","94832.8"
"196","0.2","0.4","300","100","false","300","24","84208","190744","5400","16564.059999999998","95372"
"197","0.2","0.4","300","100","false","300","24","86102","188750.40000000002","5300","13572.709999999995","94375.20000000001"
"198","0.2","0.4","300","100","false","300","29","81345","185888","5100","16698.910000000003","92944"
"199","0.2","0.4","300","100","false","300","25","82043","187585.6","5200","16949.909999999996","93792.8"
"200","0.2","0.4","300","100","false","300","25","91687","201014.40000000002","5700","14520.680000000002","100507.20000000001"
